transaction_date,total_transactions,total_credit_amount,total_debit_amount,total_amount
2024-07-29 00:09:47,1,759.76,0.0,759.76
2024-07-29 01:17:26,1,0.0,12569.92,12569.92
2024-07-29 01:22:44,1,0.0,45906.06,45906.06
2024-07-29 01:41:21,1,2398.11,0.0,2398.11
2024-07-29 02:14:39,1,62654.42,0.0,62654.42
2024-07-29 02:48:05,1,0.0,12776.05,12776.05
2024-07-29 02:53:02,1,0.0,33505.2,33505.2
2024-07-29 03:43:11,1,6206.38,0.0,6206.38
2024-07-29 04:06:34,1,1259.3,0.0,1259.3
2024-07-29 04:23:17,1,1911.58,0.0,1911.58
2024-07-29 05:12:01,1,1272.78,0.0,1272.78
2024-07-29 05:36:07,1,0.0,23639.31,23639.31
2024-07-29 05:55:07,1,0.0,19660.08,19660.08
2024-07-29 06:14:18,1,0.0,43571.47,43571.47
2024-07-29 06:50:04,1,0.0,28319.29,28319.29
2024-07-29 06:53:27,1,0.0,19432.34,19432.34
2024-07-29 07:01:03,1,0.0,10440.91,10440.91
2024-07-29 07:16:25,1,0.0,70620.32,70620.32
2024-07-29 07:50:19,1,0.0,4345.94,4345.94
2024-07-29 07:58:07,1,0.0,13611.73,13611.73
2024-07-29 09:24:26,1,0.0,26190.71,26190.71
2024-07-29 09:47:25,1,0.0,14319.01,14319.01
2024-07-29 10:15:58,1,0.0,27740.59,27740.59
2024-07-29 10:25:04,1,0.0,29169.75,29169.75
2024-07-29 10:32:41,1,0.0,16396.49,16396.49
2024-07-29 10:34:25,1,107987.48,0.0,107987.48
2024-07-29 10:39:47,1,29158.53,0.0,29158.53
2024-07-29 10:59:38,1,121.62,0.0,121.62
2024-07-29 11:35:30,1,11887.35,0.0,11887.35
2024-07-29 12:12:53,1,0.0,4695.8,4695.8
2024-07-29 12:51:47,1,0.0,18401.47,18401.47
2024-07-29 12:59:26,1,0.0,2193.5,2193.5
2024-07-29 13:18:36,1,133443.0,0.0,133443.0
2024-07-29 14:05:35,1,0.0,17495.47,17495.47
2024-07-29 14:25:15,1,137408.75,0.0,137408.75
2024-07-29 14:44:27,1,0.0,3589.81,3589.81
2024-07-29 15:59:46,1,0.0,9388.37,9388.37
2024-07-29 16:07:13,1,0.0,74275.31,74275.31
2024-07-29 16:21:25,1,0.0,12858.21,12858.21
2024-07-29 16:22:42,1,0.0,12341.04,12341.04
2024-07-29 16:24:40,1,21390.08,0.0,21390.08
2024-07-29 16:38:58,1,0.0,52089.67,52089.67
2024-07-29 16:40:27,1,0.0,44801.07,44801.07
2024-07-29 16:42:22,1,0.0,79644.72,79644.72
2024-07-29 16:54:21,1,0.0,13758.7,13758.7
2024-07-29 17:31:04,1,0.0,32858.83,32858.83
2024-07-29 17:48:28,1,1546.26,0.0,1546.26
2024-07-29 17:50:50,1,2880.97,0.0,2880.97
2024-07-29 18:38:40,1,3670.54,0.0,3670.54
2024-07-29 18:44:28,1,22224.51,0.0,22224.51
2024-07-29 19:18:20,1,21851.78,0.0,21851.78
2024-07-29 20:00:18,1,3211.02,0.0,3211.02
2024-07-29 22:38:26,1,0.0,22701.65,22701.65
2024-07-29 22:59:27,1,0.0,25300.15,25300.15
2024-07-29 22:59:38,1,0.0,14190.04,14190.04
2024-07-29 23:33:06,1,47581.76,0.0,47581.76
2024-07-30 00:22:39,1,3179.94,0.0,3179.94
2024-07-30 00:27:18,1,0.0,37986.81,37986.81
2024-07-30 00:30:12,1,0.0,8837.06,8837.06
2024-07-30 00:58:41,1,0.0,28071.35,28071.35
2024-07-30 01:01:04,1,49900.02,0.0,49900.02
2024-07-30 01:26:46,1,0.0,17776.96,17776.96
2024-07-30 02:38:49,1,0.0,9469.06,9469.06
2024-07-30 03:10:12,1,80001.77,0.0,80001.77
2024-07-30 03:22:16,1,0.0,43996.26,43996.26
2024-07-30 04:19:39,1,1059.86,0.0,1059.86
2024-07-30 04:37:50,1,0.0,36105.63,36105.63
2024-07-30 04:41:47,1,0.0,82884.45,82884.45
2024-07-30 04:43:38,1,0.0,6565.76,6565.76
2024-07-30 04:54:39,1,0.0,2547.46,2547.46
2024-07-30 05:39:27,1,0.0,19644.6,19644.6
2024-07-30 05:55:56,1,0.0,8266.71,8266.71
2024-07-30 06:01:02,1,6266.89,0.0,6266.89
2024-07-30 06:07:16,1,6635.12,0.0,6635.12
2024-07-30 06:44:31,1,0.0,53478.31,53478.31
2024-07-30 07:56:46,1,0.0,32104.91,32104.91
2024-07-30 08:26:11,1,108013.75,0.0,108013.75
2024-07-30 08:49:53,1,60756.1,0.0,60756.1
2024-07-30 08:53:09,1,0.0,17054.84,17054.84
2024-07-30 08:56:18,1,8862.9,0.0,8862.9
2024-07-30 09:11:03,1,905.48,0.0,905.48
2024-07-30 09:27:24,1,2232.59,0.0,2232.59
2024-07-30 09:29:30,1,45984.76,0.0,45984.76
2024-07-30 09:32:05,1,0.0,2439.44,2439.44
2024-07-30 09:37:38,1,29610.34,0.0,29610.34
2024-07-30 09:53:48,1,0.0,6455.5,6455.5
2024-07-30 10:22:46,1,0.0,31431.06,31431.06
2024-07-30 11:00:20,1,0.0,13705.96,13705.96
2024-07-30 11:15:07,1,8216.53,0.0,8216.53
2024-07-30 11:40:00,1,44821.98,0.0,44821.98
2024-07-30 11:40:52,1,0.0,73338.47,73338.47
2024-07-30 11:48:48,1,0.0,3325.43,3325.43
2024-07-30 12:05:02,1,1544.08,0.0,1544.08
2024-07-30 12:08:55,1,0.0,2376.86,2376.86
2024-07-30 12:20:12,1,11066.52,0.0,11066.52
2024-07-30 12:24:28,1,0.0,97179.55,97179.55
2024-07-30 13:12:36,1,0.0,4408.46,4408.46
2024-07-30 13:16:19,1,0.0,5288.44,5288.44
2024-07-30 13:20:41,1,0.0,31811.23,31811.23
2024-07-30 13:37:52,1,0.0,45495.74,45495.74
2024-07-30 13:38:22,1,584.82,0.0,584.82
2024-07-30 14:11:19,1,126575.41,0.0,126575.41
2024-07-30 14:23:17,1,34062.96,0.0,34062.96
2024-07-30 14:48:16,1,0.0,7719.66,7719.66
2024-07-30 16:24:38,1,0.0,3038.27,3038.27
2024-07-30 16:46:51,1,0.0,7694.23,7694.23
2024-07-30 18:24:19,1,1089.92,0.0,1089.92
2024-07-30 18:27:40,1,0.0,3236.17,3236.17
2024-07-30 18:45:02,1,0.0,14444.79,14444.79
2024-07-30 19:10:30,1,47295.24,0.0,47295.24
2024-07-30 19:26:36,1,3979.49,0.0,3979.49
2024-07-30 19:49:38,1,0.0,90515.25,90515.25
2024-07-30 19:49:49,1,0.0,94346.68,94346.68
2024-07-30 19:58:59,1,0.0,4397.59,4397.59
2024-07-30 20:10:00,1,0.0,27241.8,27241.8
2024-07-30 20:18:45,1,14341.21,0.0,14341.21
2024-07-30 20:46:41,1,0.0,28476.45,28476.45
2024-07-30 21:33:45,1,0.0,18531.2,18531.2
2024-07-30 21:38:39,1,0.0,6031.98,6031.98
2024-07-30 21:41:25,1,4855.31,0.0,4855.31
2024-07-30 21:53:17,1,0.0,10087.0,10087.0
2024-07-30 22:17:16,1,102073.83,0.0,102073.83
2024-07-30 23:34:06,1,0.0,31357.0,31357.0
2024-07-30 23:39:48,1,0.0,1692.66,1692.66
2024-07-30 23:53:58,1,0.0,3333.7,3333.7
2024-07-30 23:58:09,1,0.0,49235.44,49235.44
2024-07-31 00:19:24,1,0.0,13632.35,13632.35
2024-07-31 02:02:38,1,3000.91,0.0,3000.91
2024-07-31 02:18:57,1,0.0,27915.81,27915.81
2024-07-31 03:15:41,1,0.0,33155.12,33155.12
2024-07-31 03:20:58,1,0.0,8211.71,8211.71
2024-07-31 04:01:32,1,0.0,85089.61,85089.61
2024-07-31 04:37:17,1,0.0,12603.75,12603.75
2024-07-31 04:44:59,1,1258.84,0.0,1258.84
2024-07-31 05:17:41,1,26580.21,0.0,26580.21
2024-07-31 05:50:27,1,24601.99,0.0,24601.99
2024-07-31 05:56:12,1,0.0,4338.77,4338.77
2024-07-31 06:10:13,1,41731.02,0.0,41731.02
2024-07-31 06:35:38,1,0.0,19233.93,19233.93
2024-07-31 06:36:21,1,548.39,0.0,548.39
2024-07-31 07:42:20,1,0.0,55748.64,55748.64
2024-07-31 07:45:29,1,0.0,32991.75,32991.75
2024-07-31 08:02:48,1,0.0,8002.62,8002.62
2024-07-31 08:13:21,1,0.0,27257.54,27257.54
2024-07-31 08:13:46,1,5988.07,0.0,5988.07
2024-07-31 08:15:34,1,61647.56,0.0,61647.56
2024-07-31 09:18:42,1,3844.44,0.0,3844.44
2024-07-31 09:52:40,1,0.0,96222.95,96222.95
2024-07-31 10:27:42,1,0.0,26615.58,26615.58
2024-07-31 10:32:43,1,3422.19,0.0,3422.19
2024-07-31 11:07:36,1,4275.35,0.0,4275.35
2024-07-31 11:41:03,1,0.0,3310.12,3310.12
2024-07-31 11:58:15,1,1425.69,0.0,1425.69
2024-07-31 12:33:44,1,0.0,42756.81,42756.81
2024-07-31 12:40:30,1,114.67,0.0,114.67
2024-07-31 12:51:42,1,0.0,14843.99,14843.99
2024-07-31 13:04:22,1,0.0,77234.25,77234.25
2024-07-31 13:10:07,1,8052.77,0.0,8052.77
2024-07-31 13:27:53,1,3995.8,0.0,3995.8
2024-07-31 13:55:51,1,0.0,12133.23,12133.23
2024-07-31 14:07:19,1,117141.74,0.0,117141.74
2024-07-31 14:16:49,1,0.0,15814.65,15814.65
2024-07-31 14:24:01,1,0.0,7365.7,7365.7
2024-07-31 15:16:16,1,26237.41,0.0,26237.41
2024-07-31 16:03:52,1,0.0,8439.49,8439.49
2024-07-31 16:12:26,1,5952.93,0.0,5952.93
2024-07-31 16:29:13,1,0.0,9659.39,9659.39
2024-07-31 16:33:05,1,3958.03,0.0,3958.03
2024-07-31 16:43:14,1,0.0,20872.16,20872.16
2024-07-31 16:44:06,1,0.0,5595.71,5595.71
2024-07-31 17:03:36,1,0.0,330.84,330.84
2024-07-31 17:25:41,1,125644.79,0.0,125644.79
2024-07-31 18:30:51,1,0.0,27417.65,27417.65
2024-07-31 18:58:17,1,0.0,10626.09,10626.09
2024-07-31 19:23:26,1,0.0,2861.37,2861.37
2024-07-31 19:23:40,1,0.0,99882.74,99882.74
2024-07-31 19:29:10,1,51349.69,0.0,51349.69
2024-07-31 19:52:14,1,0.0,7265.9,7265.9
2024-07-31 20:01:05,1,0.0,25551.56,25551.56
2024-07-31 20:02:42,1,80075.04,0.0,80075.04
2024-07-31 20:19:11,1,0.0,7342.55,7342.55
2024-07-31 21:14:21,1,0.0,3559.34,3559.34
2024-07-31 21:16:25,1,0.0,7154.57,7154.57
2024-07-31 21:32:35,1,6528.88,0.0,6528.88
2024-07-31 21:44:33,1,1807.04,0.0,1807.04
2024-07-31 22:59:49,1,2676.35,0.0,2676.35
2024-07-31 23:06:19,1,0.0,48580.2,48580.2
2024-07-31 23:30:38,1,0.0,17344.86,17344.86
2024-07-31 23:58:55,1,0.0,2238.98,2238.98
2024-08-01 00:21:47,1,0.0,38989.38,38989.38
2024-08-01 00:42:32,1,73771.81,0.0,73771.81
2024-08-01 00:54:31,1,0.0,29017.05,29017.05
2024-08-01 01:20:09,1,0.0,7562.53,7562.53
2024-08-01 02:17:05,1,0.0,41034.39,41034.39
2024-08-01 02:20:14,1,42373.95,0.0,42373.95
2024-08-01 02:40:07,1,15494.41,0.0,15494.41
2024-08-01 03:16:21,1,929.78,0.0,929.78
2024-08-01 03:38:23,1,0.0,71705.33,71705.33
2024-08-01 04:46:01,1,0.0,1173.35,1173.35
2024-08-01 05:32:01,1,0.0,35374.49,35374.49
2024-08-01 05:40:39,1,113139.3,0.0,113139.3
2024-08-01 05:56:25,1,0.0,4935.66,4935.66
2024-08-01 06:24:54,1,0.0,72120.98,72120.98
2024-08-01 07:17:22,1,0.0,40931.28,40931.28
2024-08-01 07:30:35,1,4973.79,0.0,4973.79
2024-08-01 08:01:23,1,0.0,32154.45,32154.45
2024-08-01 08:14:42,1,0.0,8997.94,8997.94
2024-08-01 08:22:27,1,0.0,49482.09,49482.09
2024-08-01 09:48:53,1,0.0,57341.91,57341.91
2024-08-01 11:10:20,1,0.0,17552.8,17552.8
2024-08-01 12:01:23,1,0.0,34128.52,34128.52
2024-08-01 12:38:24,1,0.0,25576.05,25576.05
2024-08-01 12:44:03,1,32938.27,0.0,32938.27
2024-08-01 12:50:56,1,0.0,2646.41,2646.41
2024-08-01 12:52:22,1,0.0,71284.07,71284.07
2024-08-01 13:28:35,1,0.0,5099.64,5099.64
2024-08-01 13:39:10,1,0.0,10927.63,10927.63
2024-08-01 14:04:14,1,0.0,13672.3,13672.3
2024-08-01 14:24:11,1,0.0,23135.84,23135.84
2024-08-01 14:35:58,1,0.0,36775.75,36775.75
2024-08-01 14:40:08,1,0.0,10680.2,10680.2
2024-08-01 15:20:12,1,0.0,79881.77,79881.77
2024-08-01 15:20:55,1,0.0,29525.26,29525.26
2024-08-01 16:07:08,1,8559.66,0.0,8559.66
2024-08-01 16:23:28,1,22671.29,0.0,22671.29
2024-08-01 16:28:56,1,115510.67,0.0,115510.67
2024-08-01 16:52:51,1,7542.83,0.0,7542.83
2024-08-01 17:10:20,1,5426.08,0.0,5426.08
2024-08-01 17:11:28,1,0.0,14916.25,14916.25
2024-08-01 17:31:39,1,3032.73,0.0,3032.73
2024-08-01 17:33:33,1,23873.78,0.0,23873.78
2024-08-01 18:11:06,1,0.0,40417.86,40417.86
2024-08-01 18:46:40,1,0.0,895.17,895.17
2024-08-01 18:58:44,1,141521.35,0.0,141521.35
2024-08-01 19:32:48,1,0.0,25606.31,25606.31
2024-08-01 19:55:42,1,8326.12,0.0,8326.12
2024-08-01 20:05:05,1,0.0,46011.74,46011.74
2024-08-01 20:08:56,1,0.0,13617.78,13617.78
2024-08-01 20:21:18,1,0.0,17397.24,17397.24
2024-08-01 20:26:55,1,0.0,43018.11,43018.11
2024-08-01 21:09:46,1,0.0,6588.72,6588.72
2024-08-01 21:28:09,1,0.0,45269.19,45269.19
2024-08-01 21:46:18,1,0.0,2518.92,2518.92
2024-08-01 22:08:28,1,0.0,8068.7,8068.7
2024-08-01 22:12:27,1,0.0,64883.03,64883.03
2024-08-01 22:20:39,1,0.0,69283.97,69283.97
2024-08-01 22:51:34,1,3944.58,0.0,3944.58
2024-08-02 00:32:37,1,0.0,90793.71,90793.71
2024-08-02 00:38:10,1,0.0,4385.53,4385.53
2024-08-02 00:47:27,1,0.0,49705.19,49705.19
2024-08-02 02:28:36,1,7019.71,0.0,7019.71
2024-08-02 02:45:04,1,0.0,19010.66,19010.66
2024-08-02 02:59:45,1,44969.94,0.0,44969.94
2024-08-02 03:30:34,1,10954.51,0.0,10954.51
2024-08-02 03:40:42,1,3543.69,0.0,3543.69
2024-08-02 03:54:34,1,0.0,2629.51,2629.51
2024-08-02 03:54:36,1,8770.67,0.0,8770.67
2024-08-02 04:39:54,1,0.0,6767.0,6767.0
2024-08-02 05:54:14,1,12600.78,0.0,12600.78
2024-08-02 06:14:42,1,0.0,58416.87,58416.87
2024-08-02 07:14:04,1,0.0,5256.25,5256.25
2024-08-02 08:14:20,1,0.0,17053.33,17053.33
2024-08-02 08:16:11,1,0.0,49640.76,49640.76
2024-08-02 08:26:05,1,0.0,9697.31,9697.31
2024-08-02 08:34:18,1,0.0,9274.26,9274.26
2024-08-02 09:04:22,1,112028.65,0.0,112028.65
2024-08-02 09:14:49,1,0.0,4039.57,4039.57
2024-08-02 09:44:54,1,1617.75,0.0,1617.75
2024-08-02 10:43:51,2,0.0,39672.72,39672.72
2024-08-02 10:58:01,1,0.0,7649.87,7649.87
2024-08-02 11:16:34,1,0.0,28644.94,28644.94
2024-08-02 11:23:24,1,3631.86,0.0,3631.86
2024-08-02 12:15:39,1,0.0,15907.38,15907.38
2024-08-02 13:05:52,1,0.0,25525.72,25525.72
2024-08-02 13:20:16,1,2911.21,0.0,2911.21
2024-08-02 13:39:44,1,7168.61,0.0,7168.61
2024-08-02 13:47:15,1,16142.12,0.0,16142.12
2024-08-02 14:36:14,1,43192.75,0.0,43192.75
2024-08-02 14:46:15,1,29946.6,0.0,29946.6
2024-08-02 14:50:47,1,4581.18,0.0,4581.18
2024-08-02 15:33:03,1,7918.98,0.0,7918.98
